instruction,response
ਅਚਿੰਤ ਕੌਰ ਨੇ 1994 ਵਿੱਚ ਆਪਣੇ ਕਰੀਅਰ ਦੀ ਸ਼ੁਰੂਆਤ ਕਿਸ ਜ਼ੀ ਟੀਵੀ ਸ਼ੋਅ ਵਿੱਚ ਕੀਤੀ ਸੀ?,ਬਣਗੀ ਅਪਨੀ ਬਾਤ।
ਅਚਿੰਤ ਕੌਰ ਨੇ ਆਪਣੇ ਮਜ਼ਬੂਤ ​​ਕਿਰਦਾਰਾਂ ਲਈ ਕਿਹੜਾ ਪੁਰਸਕਾਰ ਜਿੱਤਿਆ ਹੈ?,ਅਵਾਰਡ 'ਸਰਵੋਤਮ ਅਭਿਨੇਤਾ ਇਨ ਏ ਲੀਡਿੰਗ ਰੋਲ ਆਈਟੀਏ ਅਵਾਰਡ ਫਾਰ ਅਭਿਨੇਤਰੀ' ਲਈ ਹੈ।
ਅਚਿੰਤ ਕੌਰ 2014 ਵਿੱਚ ਕਿਸ ਸੀਰੀਅਲ ਵਿੱਚ ਕੰਮ ਕਰ ਰਹੀ ਹੈ?,ਅਚਿੰਤ ਕੌਰ ਜ਼ੀ ਟੀਵੀ ਦੇ ਪੰਜਾਬੀ/ਗੁਜਰਾਤੀ ਥੀਮ ਵਾਲੇ ਸੀਰੀਅਲ ਜਮਾਈ ਰਾਜਾ ਵਿੱਚ ਕੰਮ ਕਰ ਰਹੀ ਹੈ।
ਅਚਿੰਤ ਕੌਰ ਹਾਲ ਹੀ ਵਿੱਚ ਕਿਹੜੇ ਨਾਟਕ ਵਿੱਚ ਨਜ਼ਰ ਆਈ ਹੈ?,"ਦੋ ਦੋ ਟੈਂਗੋ, ਤਿੰਨ ਦੋ ਜੀਵਨ."
ਕੀ ਅਚਿੰਤ ਕੌਰ ਨੇ ਕੁਝ ਪਾਕਿਸਤਾਨੀ ਟੈਲੀਵਿਜ਼ਨ ਸੀਰੀਅਲਾਂ ਵਿੱਚ ਵੀ ਕੰਮ ਕੀਤਾ ਹੈ?,ਹਾਂ।
ਆਤਸ਼ ਦੁਰਾਨੀ ਦਾ ਜਨਮ ਕਿੱਥੇ ਹੋਇਆ ਸੀ?,"ਮਿੰਟਗੁਮਰੀ (ਹੁਣ ਸਾਹੀਵਾਲ), ਪੰਜਾਬ"
ਆਤਸ਼ ਦੁਰਾਨੀ ਦੀ ਜਨਮ ਮਿਤੀ ਕੀ ਸੀ?,22 ਜਨਵਰੀ 1952 ਈ
ਆਤਸ਼ ਦੁਰਾਨੀ ਦੀ ਮੌਤ ਦੀ ਮਿਤੀ ਕੀ ਸੀ?,30 ਨਵੰਬਰ 2018
ਪੀਐਚਡੀ ਪ੍ਰਾਪਤ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਆਤਸ਼ ਦੁਰਾਨੀ ਦਾ ਅਕਾਦਮਿਕ ਪਿਛੋਕੜ ਕੀ ਸੀ?,ਉਸਨੇ 1991 ਵਿੱਚ ਯੂਨੀਵਰਸਿਟੀ ਓਰੀਐਂਟਲ ਤੋਂ ਗ੍ਰੈਜੂਏਸ਼ਨ ਕੀਤੀ
ਆਤਸ਼ ਦੁਰਾਨੀ ਨੇ ਉਰਦੂ ਸ਼ਬਦਾਵਲੀ ਵਿੱਚ ਪੀਐਚਡੀ ਕਿੱਥੋਂ ਪ੍ਰਾਪਤ ਕੀਤੀ?,"ਪੰਜਾਬ ਯੂਨੀਵਰਸਿਟੀ, ਲਾਹੌਰ"
ਆਤਸ਼ ਦੁਰਾਨੀ ਦੇ ਅਧਿਐਨ ਦੇ ਖੇਤਰ ਕੀ ਸਨ?,"ਭਾਸ਼ਾਵਾਂ, ਸਿੱਖਿਆ, ਕੰਪਿਊਟਰ ਵਿਗਿਆਨ, ਅਤੇ ਸੂਚਨਾ ਤਕਨਾਲੋਜੀ"
ਆਤਸ਼ ਦੁਰਾਨੀ ਨੇ ਕਿੰਨੀਆਂ ਕਿਤਾਬਾਂ ਲਿਖੀਆਂ?,275 ਤੋਂ ਵੱਧ
ਆਤਸ਼ ਦੁਰਾਨੀ ਨੇ ਕਿੰਨੇ ਪੇਪਰ ਲਿਖੇ?,500 ਤੋਂ ਵੱਧ
ਆਤਸ਼ ਦੁਰਾਨੀ ਨੇ ਕਿਹੜੀਆਂ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਲਿਖਿਆ?,ਉਰਦੂ ਅਤੇ ਅੰਗਰੇਜ਼ੀ
ਆਤਸ਼ ਦੁਰਾਨੀ ਨੂੰ ਉਰਦੂ ਭਾਸ਼ਾ ਅਤੇ ਸਾਹਿਤ ਵਿੱਚ ਉਸਦੇ ਕੰਮ ਲਈ ਕਿਹੜੇ ਪੁਰਸਕਾਰ ਮਿਲੇ ਸਨ?,ਤਮਘਾ-ਏ-ਇਮਤਿਆਜ਼ ਅਤੇ ਸਿਤਾਰਾ-ਏ-ਇਮਤਿਆਜ਼
ਆਤਸ਼ ਦੁਰਾਨੀ ਦੇ ਅਧਿਐਨ ਦੇ ਵਿਸ਼ੇ ਕੀ ਸਨ?,"ਉਰਦੂ ਭਾਸ਼ਾ ਅਤੇ ਸਾਹਿਤ, ਭਾਸ਼ਾ ਵਿਗਿਆਨ, ਸਿੱਖਿਆ, ਸਾਖਰਤਾ, ਪਾਠਕ੍ਰਮ ਅਤੇ ਪਾਠ ਪੁਸਤਕ ਵਿਕਾਸ, ਉਰਦੂ ਸੂਚਨਾ ਵਿਗਿਆਨ, ਖੋਜ, ਲੈਕਸੀਕਨ; ਅਤੇ ਪਰਿਭਾਸ਼ਾਵਾਂ, ਪੁਸਤਕਾਂ ਅਤੇ ਐਨਸਾਈਕਲੋਪੀਡੀਆ, ਅਤੇ ਇਕਬਾਲ ਸਟੱਡੀਜ਼, ਪਾਕਿਸਤਾਨ ਸਟੱਡੀਜ਼, ਰਤਨ ਵਿਗਿਆਨ, ਇਤਿਹਾਸ ਅਤੇ ਵਿਗਿਆਨ ਦਾ ਦਰਸ਼ਨ।"
ਅਨੀਤਾ ਦੇਵਗਨ ਦਾ ਜਨਮ ਕਿੱਥੇ ਹੋਇਆ ਸੀ?,"ਭਾਰਤ, ਪੰਜਾਬ ਰਾਜ ਵਿੱਚ"
ਅਨੀਤਾ ਦੇਵਗਨ ਦੀਆਂ ਕਿਹੜੀਆਂ ਫਿਲਮਾਂ ਹਨ?,"ਜੱਟ ਐਂਡ ਜੂਲੀਅਟ, ਰੋਂਦੇ ਸਰੇ ਬਾਝ ਬੜਾ, ਅੰਗਰੇਜ਼, ਬੰਬੂਕਾਟ, ਰੱਬ ਦਾ ਰੇਡੀਓ, ਗੋਲਕ ਬੁਗਨੀ ਬੈਂਕ ਤੇ ਬਟੂਆ, ਮਿਸਟਰ ਐਂਡ ਮਿਸਿਜ਼ 420 ਰਿਟਰਨਜ਼, ਪੁਆਡਾ, ਅਤੇ 'ਨੀ ਮੈਂ ਸੱਸ ਕੁੱਟਣੀ'।"
ਅਨੀਤਾ ਦੇਵਗਨ ਦਾ ਸਿੱਖਿਆ ਵਿੱਚ ਪਿਛੋਕੜ ਕੀ ਹੈ?,"ਅਨੀਤਾ ਦੇਵਗਨ ਨੇ ਆਪਣੀ ਸਕੂਲੀ ਅਤੇ ਕਾਲਜ ਦੀ ਪੜ੍ਹਾਈ ਸਰਕਾਰੀ ਮਿਡਲ ਸਕੂਲ, ਚੀਚਾ, ਅੰਮ੍ਰਿਤਸਰ, ਖਾਲਸਾ ਕਾਲਜ ਫਾਰ ਵੂਮੈਨ, ਅੰਮ੍ਰਿਤਸਰ ਅਤੇ ਪੰਜਾਬ ਯੂਨੀਵਰਸਿਟੀ, ਪਟਿਆਲਾ ਤੋਂ ਪੂਰੀ ਕੀਤੀ।"
ਅਨੀਤਾ ਦੇਵਗਨ ਨੇ ਸਕੂਲ ਵਿਚ ਕਿਹੜੀ ਡਿਗਰੀ ਹਾਸਲ ਕੀਤੀ?,ਬੈਚਲਰ ਆਫ਼ ਆਰਟਸ (BA) ਅਤੇ ਇੱਕ ਮਾਸਟਰ ਆਫ਼ ਆਰਟਸ (MA) ਡਿਗਰੀ।
ਅਨੀਤਾ ਦੇਵਗਨ ਕਿਸ ਫਿਲਮ ਇੰਡਸਟਰੀ ਵਿੱਚ ਕੰਮ ਕਰਦੀ ਹੈ?,ਪੰਜਾਬੀ ਫਿਲਮ ਇੰਡਸਟਰੀ।
ਅਨੀਤਾ ਦੇਵਗਨ ਕਿਸ ਖੇਤਰ ਵਿੱਚ ਇੱਕ ਪੇਸ਼ੇਵਰ ਹੈ?,"ਐਕਟਿੰਗ, ਥੀਏਟਰ ਅਤੇ ਟੈਲੀਵਿਜ਼ਨ।"
ਅਨੀਤਾ ਦੇਵਗਨ ਨੇ ਕਿੰਨੀਆਂ ਫਿਲਮਾਂ ਵਿੱਚ ਕੰਮ ਕੀਤਾ ਹੈ?,40 ਤੋਂ ਵੱਧ ਫਿਲਮਾਂ।
ਕੀ ਅਨੀਤਾ ਦੇਵਗਨ ਕੋਲ ਕੋਈ ਮਹੱਤਵਪੂਰਨ ਪੁਰਸਕਾਰ ਹੈ?,"ਹਾਂ, ਅੱਤਰੀ ਪੰਜਾਬੀ ਫਿਲਮ ਅਵਾਰਡ ਅਤੇ ਪੀਟੀਸੀ ਪੰਜਾਬੀ ਫਿਲਮ ਅਵਾਰਡ ਦੁਆਰਾ ਸਰਵੋਤਮ ਸਹਾਇਕ ਅਭਿਨੇਤਰੀ ਸ਼੍ਰੇਣੀ ਵਿੱਚ ਅਵਾਰਡ।"
ਉਸ ਦੀਆਂ ਹਾਲੀਆ ਮਸ਼ਹੂਰ ਫਿਲਮਾਂ ਦੇ ਨਾਂ ਦੱਸੋ,"ਜੱਟ ਐਂਡ ਜੂਲੀਅਟ, ਆਰਐਸਵੀਪੀ, ਅੰਗਰੇਜ਼, ਬੰਬੂਕਟ, ਰੱਬ ਦਾ ਰੇਡੀਓ, ਗੋਲਕ ਬੁਗਨੀ ਬੈਂਕ ਤੇ ਬਟੂਆ, ਮਿਸਟਰ ਐਂਡ ਮਿਸਿਜ਼ 420 ਰਿਟਰਨਜ਼, ਪੁਆਡਾ, ਅਤੇ ਨੀ ਮੈਂ ਸਾਸ ਕੁਟਨੀ ਹਨ।"
ਫਿਲਮ ਨੀ ਮੈਂ ਸੱਸ ਕੁਟਨੀ ਵਿੱਚ ਅਨੀਤਾ ਦੇਵਗਨ ਕਿਸ ਰੋਲ ਵਿੱਚ ਨਜ਼ਰ ਆਈ ਸੀ,ਉਹ ਫਿਲਮ ਵਿੱਚ ਹੋਰ ਮਸ਼ਹੂਰ ਅਦਾਕਾਰਾਂ ਦੇ ਨਾਲ ਮੁੱਖ ਭੂਮਿਕਾ ਵਿੱਚ ਨਜ਼ਰ ਆਈ।
ਅਨੁਸ਼ ਅਸਦ ਦਾ ਜਨਮ ਅਤੇ ਪਾਲਣ ਪੋਸ਼ਣ ਕਿੱਥੇ ਹੋਇਆ ਸੀ?,"ਲਾਹੌਰ, ਪਾਕਿਸਤਾਨ"
ਅਨੁਸ਼ ਅਸਦ ਦਾ ਸਿੱਖਿਆ ਪਿਛੋਕੜ ਕੀ ਸੀ?,ਲਾਹੌਰ ਗ੍ਰਾਮਰ ਸਕੂਲ ਅਤੇ ਲਾਹੌਰ ਸਕੂਲ ਆਫ਼ ਇਕਨਾਮਿਕਸ ਤੋਂ ਬੈਚਲਰ ਆਫ਼ ਬਿਜ਼ਨਸ (ਆਨਰਜ਼) ਦੀ ਡਿਗਰੀ
ਅਨੁਸ਼ ਅਸਦ ਦਾ ਪੇਸ਼ਾ ਕੀ ਹੈ?,ਪਾਕਿਸਤਾਨੀ ਮਾਡਲ ਅਤੇ ਮੇਕਅੱਪ ਕਲਾਕਾਰ
ਅਨੁਸ਼ ਅਸਦ ਦਾ ਵਿਆਹ ਕਦੋਂ ਹੋਇਆ?,2007
ਅਨੂਸ਼ ਅਸਦ ਦੇ ਬੇਟੇ ਦਾ ਨਾਮ ਕੀ ਹੈ?,ਜ਼ਦੀ ਅਸਦ
ਅਨੁਸ਼ ਅਸਦ ਕਿਸ ਸਾਲ ਥਾਕਨ ਨਾਮ ਦੀ ਇੱਕ ਟੀਵੀ ਲੜੀ ਵਿੱਚ ਦਿਖਾਈ ਦਿੱਤੀ?,2012
ਅਨੁਸ਼ੀ ਅਸਦ ਕਿਸ ਸਾਲ ਕਾਮੀ ਰਹਿ ਗਈ ਨਾਮਕ ਟੀਵੀ ਲੜੀਵਾਰ ਵਿੱਚ ਦਿਖਾਈ ਦਿੱਤੀ?,2013
ਅਨੁਸ਼ ਅਸਦ ਦਾ ਜਨਮ ਕਦੋਂ ਹੋਇਆ ਸੀ?,13 ਸਤੰਬਰ 1983
ਅਨੂ ਕਪੂਰ ਦਾ ਜਨਮ ਕਦੋਂ ਅਤੇ ਕਿੱਥੇ ਹੋਇਆ ਸੀ?,"ਅਨੂ ਕਪੂਰ ਦਾ ਜਨਮ 20 ਫਰਵਰੀ 1956 ਨੂੰ ਇਤਵਾੜਾ, ਭੋਪਾਲ, ਮੱਧ ਪ੍ਰਦੇਸ਼ ਵਿੱਚ ਹੋਇਆ ਸੀ।"
ਅਨੂ ਕਪੂਰ ਦੇ ਮਾਤਾ-ਪਿਤਾ ਦੇ ਪੇਸ਼ੇ ਕੀ ਸਨ?,ਅਨੂ ਕਪੂਰ ਦੇ ਪਿਤਾ ਇੱਕ ਪਾਰਸੀ ਥੀਏਟਰ ਕੰਪਨੀ ਦੇ ਮਾਲਕ ਸਨ ਅਤੇ ਉਸਦੀ ਮਾਂ ਇੱਕ ਉਰਦੂ ਅਧਿਆਪਕ ਅਤੇ ਇੱਕ ਸਿਖਲਾਈ ਪ੍ਰਾਪਤ ਕਲਾਸੀਕਲ ਗਾਇਕਾ ਸੀ।
"ਅਨੁ ਕਪੂਰ ਇੱਕ ਅਭਿਨੇਤਾ, ਨਿਰਮਾਤਾ, ਨਿਰਦੇਸ਼ਕ ਅਤੇ ਗਾਇਕ ਵਜੋਂ ਕਿੰਨੇ ਸਾਲਾਂ ਤੋਂ ਕੰਮ ਕਰ ਰਹੇ ਹਨ?",ਅਨੂ ਕਪੂਰ 40 ਸਾਲਾਂ ਤੋਂ ਇਸ ਸਮਰੱਥਾ ਵਿੱਚ ਕੰਮ ਕਰ ਰਹੀ ਹੈ।
ਅਨੂ ਕਪੂਰ ਦੁਆਰਾ ਹੋਸਟ ਕੀਤੇ ਗਏ ਰੇਡੀਓ ਸ਼ੋਅ ਦਾ ਨਾਮ ਕੀ ਹੈ?,ਅਨੂ ਕਪੂਰ 92.7 ਬਿਗ ਐਫਐਮ 'ਤੇ ਅਨੂੰ ਕਪੂਰ ਨਾਲ ਸੁਹਾਨਾ ਸਫਰ ਨਾਮਕ ਰੇਡੀਓ ਸ਼ੋਅ ਦੀ ਮੇਜ਼ਬਾਨੀ ਕਰਦੀ ਹੈ।
"ਅਨੁ ਕਪੂਰ ਨੇ ਕਿੰਨੇ ਨੈਸ਼ਨਲ ਫਿਲ ਐਮ ਅਵਾਰਡ, ਫਿਲਮਫੇਅਰ ਅਵਾਰਡ ਅਤੇ ਇੰਡੀਅਨ ਟੈਲੀਵਿਜ਼ਨ ਅਕੈਡਮੀ ਅਵਾਰਡ ਜਿੱਤੇ ਹਨ?","ਅਨੂ ਕਪੂਰ ਨੇ ਵੱਖ-ਵੱਖ ਸ਼੍ਰੇਣੀਆਂ ਵਿੱਚ ਦੋ ਨੈਸ਼ਨਲ ਫਿਲ ਐਮ ਅਵਾਰਡ, ਇੱਕ ਫਿਲਮਫੇਅਰ ਅਵਾਰਡ, ਅਤੇ ਦੋ ਇੰਡੀਅਨ ਟੈਲੀਵਿਜ਼ਨ ਅਕੈਡਮੀ ਅਵਾਰਡ ਜਿੱਤੇ ਹਨ।"
ਅਨੂ ਕਪੂਰ ਨੂੰ ਕਿਉਂ ਛੱਡਣਾ ਪਿਆ ਸਕੂਲ?,ਅਨੂ ਕਪੂਰ ਨੂੰ ਮਾੜੀ ਆਰਥਿਕ ਸਥਿਤੀ ਕਾਰਨ ਸਕੂਲ ਛੱਡਣਾ ਪਿਆ ਸੀ।
ਅਨੂ ਕਪੂਰ ਦੀ ਮਾਂ ਹਰ ਮਹੀਨੇ ਕਿੰਨੀ ਕਮਾਈ ਕਰਦੀ ਸੀ?,ਅਨੂ ਕਪੂਰ ਦੀ ਮਾਂ ₹40 ਪ੍ਰਤੀ ਮਹੀਨਾ ਕਮਾਉਂਦੀ ਸੀ।
ਅਨੁ ਕਪੂਰ ਨੇ ਨੈਸ਼ਨਲ ਸਕੂਲ ਆਫ਼ ਡਰਾਮਾ ਤੋਂ ਕਿਸ ਸਾਲ ਗ੍ਰੈਜੂਏਟ ਕੀਤਾ ਸੀ?,ਇਹ ਜਾਣਕਾਰੀ ਸਮੱਗਰੀ ਵਿੱਚ ਨਿਰਧਾਰਤ ਨਹੀਂ ਕੀਤੀ ਗਈ ਹੈ।
ਕਨਿਕਾ ਕਪੂਰ ਦਾ ਜਨਮ ਕਦੋਂ ਹੋਇਆ ਸੀ?,ਕਨਿਕਾ ਕਪੂਰ ਦਾ ਜਨਮ 21 ਅਗਸਤ 1978 ਨੂੰ ਹੋਇਆ ਸੀ
ਕਨਿਕਾ ਕਪੂਰ ਦਾ ਜਨਮ ਕਿੱਥੇ ਹੋਇਆ ਸੀ?,ਕਨਿਕਾ ਕਪੂਰ ਦਾ ਜਨਮ ਲਖਨਊ ਵਿੱਚ ਹੋਇਆ ਸੀ।
ਕਨਿਕਾ ਕਪੂਰ ਦਾ ਪਹਿਲਾ ਗੀਤ ਕਿਹੜਾ ਸੀ?,ਕਨਿਕਾ ਕਪੂਰ ਦਾ ਪਹਿਲਾ ਗੀਤ 'ਜੁਗਨੀ ਜੀ' (2012) ਸੀ।
ਕਨਿਕਾ ਕਪੂਰ ਦੇ ਪਹਿਲੇ ਪਤੀ ਦਾ ਕੀ ਨਾਂ ਸੀ?,ਕਨਿਕਾ ਕਪੂਰ ਦੇ ਪਹਿਲੇ ਪਤੀ ਦਾ ਨਾਂ ਰਾਜ ਚੰਡੋਕ ਸੀ।
ਵਿਆਹ ਤੋਂ ਬਾਅਦ ਕਿੱਥੇ ਰਹਿੰਦੀ ਸੀ ਕਨਿਕਾ ਕਪੂਰ?,ਕਨਿਕਾ ਕਪੂਰ ਵਿਆਹ ਤੋਂ ਬਾਅਦ ਲੰਡਨ 'ਚ ਰਹਿੰਦੀ ਸੀ।
